date,Rollo de Justicia, Palacio Fotificado de Castildelgado, Castillo de Belorado, Ruinas de la Iglesia de San Félix de Villafranca Montes de Oca, Monasterio de San Juan de Ortega, Sierra de Atapuerca, Cueva del Silo de Ibeas de Juarros, Cueva Mayor Portalon de entrada de Ibeas de Juarros, Cueva Mayor Principal Salón del Coro de Ibeas de Juarros, Casco histórico de la ciudad de Burgos, Archivo Historico Provicial de Burgos, Biblioteca Pública de Burgos, Castillo de Burgos, Muralla de Burgos, Torre de Albillos de Burgos, Cartuja de Santa María de Miraflores de Burgos, Casa del Cordón de Burgos, Casa de Miranda de Burgos, Museo de Burgos, Conjunto del Monasterio de San Juan de Burgos, Monasterio de San Juan de Burgos, Iglesia de San Lesmes de Burgos, Puente de San Lesmes de Burgos, Arco de San Juan de Burgos, Consulado del Mar de Burgos, Hospital de la Concepción de Burgos, Hospital del Rey de Burgos, Catedral de Santa María de Burgos, Iglesia de San Esteban de Burgos, Iglesia de San Gil de Burgos, Palacio del Paseo de la Isla, Puerta de San Esteban de Burgos, Real Monasterio de San Agustín de Burgos, Teatro Principal de Burgos, Crucero de Tardajos, Iglesia de San Martín de Frómista, Iglesia de Santa María del Castillo de Fríomista, Iglesia de Santa María la Blanca de Villalcázar de Sirga, Iglesia de Santa María de Carrión de los Condes, Iglesia de Santiago de Carrión de los Condes, Monasterio de Santa María de Sandoval, Casco histórico ciudad de León, Archivo Histórico Provincial de León, Biblioteca Pública de León, Castillo de León, Calzada de la Plata en Castilla y León de Astorga, La ciudad de Astorga, Murallas de Astorga, Ayuntamiento de Astorga, Catedral de Santa María de Astorga, Ergástula Romana de Atorga, Palacio Episcopal de Astorga, Iglesia Parroquial de la Asunción de Rabanal del Camino, La Villa de Molinaseca, El Casco Antiguo de Ponferrada, Castillo de El Temple de Ponferrada, Yacimiento arqueológico de La Edrada, El Castro de la Ventosa de Pieros, Zona Antigua de Villafranca del Bierzo, Castillo de Villafranca del Bierzo
2009-01-01,0,0,0,0,0,51,0,0,0,0,0,0,22,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,100,0,0,0,0,0,0,0,24,42,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,54,0,0,0,0,64,0,0,0,0,0,0,49,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,100,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,65,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,51,37,0,0,0,0,0,0,72,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,24,22,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,61,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,45,0,0,0,0,0,0,13,20,0,0,0,0,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,35,0,0,0,0,0,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,62,0,0,0,0,0,0,66,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,83,0,0,0,47,84,0,0,0,0,0,0,62,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,32,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,59,0,0,0,82,0,0,78,0,0,0,0,0,0,0,0
2009-10-01,42,0,0,0,65,18,0,0,0,0,0,0,41,11,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,44,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,100
